chemin, class, classe_LOC, classe_CLOC, classe_DC, WMC, classe_BC
.\src\main\java\org\jfree\chart\api\VerticalAlignment.java, VerticalAlignment, 3, 7, 2.3333333333333335, 0, 2.3333333333333335
.\src\main\java\org\jfree\chart\api\XYCoordinateType.java, XYCoordinateType, 3, 12, 4.0, 0, 4.0
.\src\main\java\org\jfree\chart\axis\Axis.java, Axis, 667, 710, 1.0644677661169415, 157, 0.0067800494657130035
.\src\main\java\org\jfree\chart\axis\AxisCollection.java, AxisCollection, 44, 43, 0.9772727272727273, 11, 0.08884297520661157
.\src\main\java\org\jfree\chart\axis\AxisLabelLocation.java, AxisLabelLocation, 3, 6, 2.0, 0, 2.0
.\src\main\java\org\jfree\chart\axis\AxisLocation.java, AxisLocation, 21, 20, 0.9523809523809523, 7, 0.13605442176870747
.\src\main\java\org\jfree\chart\axis\AxisSpace.java, AxisSpace, 149, 118, 0.7919463087248322, 43, 0.018417356016856564
.\src\main\java\org\jfree\chart\axis\AxisState.java, AxisState, 61, 74, 1.2131147540983607, 18, 0.06739526411657559
.\src\main\java\org\jfree\chart\axis\CategoryAnchor.java, CategoryAnchor, 3, 7, 2.3333333333333335, 0, 2.3333333333333335
.\src\main\java\org\jfree\chart\axis\CategoryAxis.java, CategoryAxis, 599, 535, 0.8931552587646077, 127, 0.007032718572949666
.\src\main\java\org\jfree\chart\axis\CategoryLabelPosition.java, CategoryLabelPosition, 85, 95, 1.1176470588235294, 20, 0.05588235294117647
.\src\main\java\org\jfree\chart\axis\CategoryLabelPositions.java, CategoryLabelPositions, 99, 134, 1.3535353535353536, 21, 0.06445406445406446
.\src\main\java\org\jfree\chart\axis\CategoryLabelWidthType.java, CategoryLabelWidthType, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
.\src\main\java\org\jfree\chart\axis\CategoryTick.java, CategoryTick, 48, 42, 0.875, 11, 0.07954545454545454
.\src\main\java\org\jfree\chart\axis\CompassFormat.java, CompassFormat, 37, 56, 1.5135135135135136, 9, 0.16816816816816818
.\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java, CyclicNumberAxis, 511, 370, 0.7240704500978473, 104, 0.006962215866325455
.\src\main\java\org\jfree\chart\axis\CyclicNumberAxis.java, CycleBoundTick, 7, 17, 2.4285714285714284, 1, 2.4285714285714284
.\src\main\java\org\jfree\chart\axis\DateAxis.java, DateAxis, 877, 565, 0.6442417331812998, 153, 0.004210730282230718
.\src\main\java\org\jfree\chart\axis\DateAxis.java, DefaultTimeline, 43, 67, 1.558139534883721, 11, 0.14164904862579283
.\src\main\java\org\jfree\chart\axis\DateTick.java, DateTick, 32, 42, 1.3125, 8, 0.1640625
.\src\main\java\org\jfree\chart\axis\DateTickMarkPosition.java, DateTickMarkPosition, 3, 7, 2.3333333333333335, 0, 2.3333333333333335
.\src\main\java\org\jfree\chart\axis\DateTickUnit.java, DateTickUnit, 120, 143, 1.1916666666666667, 32, 0.03723958333333333
.\src\main\java\org\jfree\chart\axis\DateTickUnitType.java, DateTickUnitType, 16, 21, 1.3125, 2, 0.65625
.\src\main\java\org\jfree\chart\axis\ExtendedCategoryAxis.java, ExtendedCategoryAxis, 82, 89, 1.0853658536585367, 20, 0.054268292682926836
.\src\main\java\org\jfree\chart\axis\LogarithmicAxis.java, LogarithmicAxis, 462, 418, 0.9047619047619048, 100, 0.009047619047619047
.\src\main\java\org\jfree\chart\axis\LogAxis.java, LogAxis, 493, 368, 0.7464503042596349, 97, 0.007695363961439535
.\src\main\java\org\jfree\chart\axis\LogTick.java, LogTick, 10, 19, 1.9, 2, 0.95
.\src\main\java\org\jfree\chart\axis\MarkerAxisBand.java, MarkerAxisBand, 97, 63, 0.6494845360824743, 17, 0.03820497271073378
.\src\main\java\org\jfree\chart\axis\ModuloAxis.java, ModuloAxis, 174, 152, 0.8735632183908046, 40, 0.021839080459770115
.\src\main\java\org\jfree\chart\axis\MonthDateFormat.java, MonthDateFormat, 77, 97, 1.2597402597402598, 19, 0.06630211893369789
.\src\main\java\org\jfree\chart\axis\NumberAxis.java, NumberAxis, 513, 394, 0.7680311890838206, 112, 0.006857421331105541
.\src\main\java\org\jfree\chart\axis\NumberTick.java, NumberTick, 14, 30, 2.142857142857143, 3, 0.7142857142857143
.\src\main\java\org\jfree\chart\axis\NumberTickUnit.java, NumberTickUnit, 48, 49, 1.0208333333333333, 11, 0.09280303030303029
.\src\main\java\org\jfree\chart\axis\NumberTickUnitSource.java, NumberTickUnitSource, 150, 22, 0.14666666666666667, 39, 0.0037606837606837607
.\src\main\java\org\jfree\chart\axis\PeriodAxis.java, PeriodAxis, 547, 394, 0.720292504570384, 116, 0.006209418142848137
.\src\main\java\org\jfree\chart\axis\PeriodAxisLabelInfo.java, PeriodAxisLabelInfo, 128, 127, 0.9921875, 27, 0.03674768518518518
.\src\main\java\org\jfree\chart\axis\QuarterDateFormat.java, QuarterDateFormat, 62, 61, 0.9838709677419355, 12, 0.08198924731182795
.\src\main\java\org\jfree\chart\axis\StandardTickUnitSource.java, StandardTickUnitSource, 34, 45, 1.3235294117647058, 7, 0.18907563025210083
.\src\main\java\org\jfree\chart\axis\SubCategoryAxis.java, SubCategoryAxis, 185, 130, 0.7027027027027027, 39, 0.018018018018018018
.\src\main\java\org\jfree\chart\axis\SymbolAxis.java, SymbolAxis, 352, 227, 0.6448863636363636, 68, 0.009483622994652406
.\src\main\java\org\jfree\chart\axis\Tick.java, Tick, 59, 57, 0.9661016949152542, 14, 0.06900726392251816
.\src\main\java\org\jfree\chart\axis\TickType.java, TickType, 3, 5, 1.6666666666666667, 0, 1.6666666666666667
